gene,string_id
A0A087WWN7,['9606.ENSP00000371859']
A0A087WWN8,['9606.ENSP00000486357']
A0A087WWN9,['9606.ENSP00000481684']
A0A087WWP1,['9606.ENSP00000268182']
A0A087WWP2,['9606.ENSP00000282344']
A0A087WWP4,['9606.ENSP00000358799']
A0A087WWP5,['9606.ENSP00000299424']
A0A087WWP6,['9606.ENSP00000447597']
A0A087WWP8,['9606.ENSP00000261441']
A0A087WWQ0,['9606.ENSP00000326630']
A0A087WWQ1,['9606.ENSP00000481542']
A0A087WWQ2,['9606.ENSP00000470560']
A0A087WWQ3,['9606.ENSP00000431512']
A0A087WWQ4,['9606.ENSP00000357759']
A0A087WWQ5,['9606.ENSP00000311538']
A0A087WWQ6,['9606.ENSP00000298396']
A0A087WWQ9,['9606.ENSP00000483825']
A0A087WWR0,['9606.ENSP00000343118']
A0A087WWR2,['9606.ENSP00000219782']
A0A087WWR3,['9606.ENSP00000480443']
A0A087WWR4,['9606.ENSP00000481091']
A0A087WWR6,['9606.ENSP00000359506']
A0A087WWR8,['9606.ENSP00000260128']
A0A087WWR9,['9606.ENSP00000429168']
A0A087WWS1,['9606.ENSP00000261600']
A0A087WWS5,['9606.ENSP00000481301']
A0A087WWS6,['9606.ENSP00000480467']
A0A087WWS8,['9606.ENSP00000477848']
A0A087WWS9,['9606.ENSP00000482202']
A0A087WWT0,['9606.ENSP00000380307']
A0A087WWT1,['9606.ENSP00000364649']
A0A087WWT2,['9606.ENSP00000480483']
A0A087WWT3,['9606.ENSP00000295897']
A0A087WWT4,['9606.ENSP00000480492']
A0A087WWT6,['9606.ENSP00000402257']
A0A087WWT7,['9606.ENSP00000335156']
A0A087WWT8,['9606.ENSP00000440498']
A0A087WWU0,['9606.ENSP00000480507']
A0A087WWU1,['9606.ENSP00000386264']
A0A087WWU3,['9606.ENSP00000477875']
A0A087WWU4,['9606.ENSP00000359506']
A0A087WWU8,['9606.ENSP00000498577']
A0A087WWU9,['9606.ENSP00000424870']
A0A087WWV0,['9606.ENSP00000405841']
A0A087WWV1,['9606.ENSP00000257347']
A0A087WWV2,['9606.ENSP00000259216']
A0A087WWV3,['9606.ENSP00000480527']
A0A087WWV5,['9606.ENSP00000365919']
A0A087WWV6,['9606.ENSP00000482502']
A0A087WWV7,['9606.ENSP00000279024']
A0A087WWV9,['9606.ENSP00000480538']
A0A087WWW0,['9606.ENSP00000317714']
A0A087WWW4,['9606.ENSP00000358262']
A0A087WWW5,['9606.ENSP00000356115']
A0A087WWW7,['9606.ENSP00000171887']
A0A087WWW8,['9606.ENSP00000381364']
A0A087WWW9,['9606.ENSP00000498104']
A0A087WWX0,['9606.ENSP00000478303']
A0A087WWX2,['9606.ENSP00000404381']
A0A087WWX5,['9606.ENSP00000250916']
A0A087WWX7,['9606.ENSP00000178640']
A0A087WWX9,['9606.ENSP00000384887']
A0A087WWY0,['9606.ENSP00000321334']
A0A087WWY1,['9606.ENSP00000358363']
A0A087WWY2,['9606.ENSP00000298223']
A0A087WWY3,['9606.ENSP00000358866']
A0A087WWY4,['9606.ENSP00000341911']
A0A087WWY5,['9606.ENSP00000481038']
A0A087WWY6,['9606.ENSP00000379975']
A0A087WWY8,['9606.ENSP00000480601']
A0A087WWY9,['9606.ENSP00000216487']
A0A087WWZ0,['9606.ENSP00000292539']
A0A087WWZ1,['9606.ENSP00000479719']
A0A087WWZ2,['9606.ENSP00000361486']
A0A087WWZ4,['9606.ENSP00000302924']
A0A087WWZ6,['9606.ENSP00000480626']
A0A087WWZ7,['9606.ENSP00000311905']
A0A087WX00,['9606.ENSP00000498468']
A0A087WX01,['9606.ENSP00000378260']
A0A087WX02,['9606.ENSP00000473185']
A0A087WX03,['9606.ENSP00000384524']
A0A087WX07,['9606.ENSP00000384408']
A0A087WX09,['9606.ENSP00000494040']
A0A087WX10,['9606.ENSP00000261304']
A0A087WX11,['9606.ENSP00000421985']
A0A087WX12,['9606.ENSP00000479542']
A0A087WX13,['9606.ENSP00000366267']
A0A087WX14,['9606.ENSP00000242848']
A0A087WX15,['9606.ENSP00000478352']
A0A087WX16,['9606.ENSP00000482437']
A0A087WX17,['9606.ENSP00000261769']
A0A087WX19,['9606.ENSP00000480715']
A0A087WX20,['9606.ENSP00000231790']
A0A087WX21,['9606.ENSP00000375236']
A0A087WX22,['9606.ENSP00000354152']
A0A087WX23,['9606.ENSP00000418944']
A0A087WX24,['9606.ENSP00000342313']
A0A087WX29,['9606.ENSP00000240185']
A0A087WX31,['9606.ENSP00000354207']
A0A087WX34,['9606.ENSP00000493946']
A0A087WX35,['9606.ENSP00000385096']
A0A087WX39,['9606.ENSP00000435585']
A0A087WX41,['9606.ENSP00000441158']
A0A087WX43,['9606.ENSP00000378260']
A0A087WX44,['9606.ENSP00000289989']
A0A087WX45,['9606.ENSP00000480715']
A0A087WX46,['9606.ENSP00000355865']
A0A087WX48,['9606.ENSP00000216099']
A0A087WX50,['9606.ENSP00000425786']
A0A087WX51,['9606.ENSP00000322570']
A0A087WX55,['9606.ENSP00000280772']
A0A087WX56,['9606.ENSP00000374562']
A0A087WX58,['9606.ENSP00000483345']
A0A087WX59,['9606.ENSP00000478877']
A0A087WX60,['9606.ENSP00000351790']
A0A087WX61,['9606.ENSP00000368450']
A0A087WX62,['9606.ENSP00000373343']
A0A087WX66,['9606.ENSP00000480768']
A0A087WX67,['9606.ENSP00000240185']
A0A087WX69,['9606.ENSP00000342502']
A0A087WX70,['9606.ENSP00000363068']
A0A087WX71,['9606.ENSP00000202816']
A0A087WX72,['9606.ENSP00000330237']
A0A087WX73,['9606.ENSP00000354718']
A0A087WX74,['9606.ENSP00000316948']
A0A087WX76,['9606.ENSP00000361556']
A0A087WX77,['9606.ENSP00000480132']
A0A087WX80,['9606.ENSP00000400365']
A0A087WX83,['9606.ENSP00000358363']
A0A087WX84,['9606.ENSP00000348573']
A0A087WX86,['9606.ENSP00000263094']
A0A087WX87,['9606.ENSP00000481149']
A0A087WX89,['9606.ENSP00000478345']
A0A087WX91,['9606.ENSP00000366267']
A0A087WX92,['9606.ENSP00000319991']
A0A087WX93,['9606.ENSP00000358089']
A0A087WX94,['9606.ENSP00000366608']
A0A087WX95,['9606.ENSP00000357336']
A0A087WX97,['9606.ENSP00000480836']
A0A087WX98,['9606.ENSP00000259216']
A0A087WX99,['9606.ENSP00000484928']
A0A087WXA3,['9606.ENSP00000480851']
A0A087WXA5,['9606.ENSP00000365014']
A0A087WXA6,['9606.ENSP00000365606']
A0A087WXA8,['9606.ENSP00000354683']
A0A087WXA9,['9606.ENSP00000479542']
A0A087WXB0,['9606.ENSP00000481022']
A0A087WXB1,['9606.ENSP00000306974']
A0A087WXB2,['9606.ENSP00000479679']
A0A087WXB3,['9606.ENSP00000342313']
A0A087WXB4,['9606.ENSP00000265827']
A0A087WXB6,['9606.ENSP00000385451']
A0A087WXB8,['9606.ENSP00000480884']
A0A087WXB9,['9606.ENSP00000481021']
A0A087WXC0,['9606.ENSP00000359506']
A0A087WXC2,['9606.ENSP00000311905']
A0A087WXC4,['9606.ENSP00000239462']
A0A087WXC5,['9606.ENSP00000252711']
A0A087WXC6,['9606.ENSP00000307260']
A0A087WXC7,['9606.ENSP00000269499']
A0A087WXC8,['9606.ENSP00000331556']
A0A087WXC9,['9606.ENSP00000215637']
A0A087WXD0,['9606.ENSP00000476386']
A0A087WXD1,['9606.ENSP00000480916']
A0A087WXD2,['9606.ENSP00000385450']
A0A087WXD4,['9606.ENSP00000382646']
A0A087WXD6,['9606.ENSP00000406718']
A0A087WXD7,['9606.ENSP00000255641']
A0A087WXD8,['9606.ENSP00000324127']
A0A087WXD9,['9606.ENSP00000338728']
A0A087WXE0,['9606.ENSP00000478591']
A0A087WXE2,['9606.ENSP00000323288']
A0A087WXE3,['9606.ENSP00000355084']
A0A087WXE9,['9606.ENSP00000482899']
A0A087WXF1,['9606.ENSP00000482657']
A0A087WXF4,['9606.ENSP00000352444']
A0A087WXF5,['9606.ENSP00000442515']
A0A087WXF6,['9606.ENSP00000233627']
A0A087WXF7,['9606.ENSP00000364929']
A0A087WXF8,['9606.ENSP00000480986']
A0A087WXG3,['9606.ENSP00000480998']
A0A087WXG4,['9606.ENSP00000337946']
A0A087WXG5,['9606.ENSP00000221543']
A0A087WXG6,['9606.ENSP00000431512']
A0A087WXG7,['9606.ENSP00000477715']
A0A087WXH0,['9606.ENSP00000485228']
A0A087WXH1,['9606.ENSP00000286424']
A0A087WXH2,['9606.ENSP00000256079']
A0A087WXH4,['9606.ENSP00000441158']
A0A087WXH5,['9606.ENSP00000254958']
A0A087WXH7,['9606.ENSP00000264065']
A0A087WXI2,['9606.ENSP00000481056']
A0A087WXI3,['9606.ENSP00000359506']
A0A087WXI4,['9606.ENSP00000389399']
A0A087WXI5,['9606.ENSP00000261769']
A0A087WXI6,['9606.ENSP00000384408']
A0A087WXI7,['9606.ENSP00000365351']
A0A087WXI8,['9606.ENSP00000334801']
A0A087WXI9,['9606.ENSP00000391085']
A0A087WXJ0,['9606.ENSP00000312634']
A0A087WXJ2,['9606.ENSP00000311905']
A0A087WXJ5,['9606.ENSP00000333157']
A0A087WXJ6,['9606.ENSP00000344223']
A0A087WXK0,['9606.ENSP00000484893']
A0A087WXK1,['9606.ENSP00000369857']
A0A087WXK2,['9606.ENSP00000418944']
A0A087WXK3,['9606.ENSP00000355961']
A0A087WXK4,['9606.ENSP00000376335']
A0A087WXK5,['9606.ENSP00000344155']
A0A087WXK8,['9606.ENSP00000481465']
A0A087WXL0,['9606.ENSP00000328729']
A0A087WXL1,['9606.ENSP00000481114']
A0A087WXL2,['9606.ENSP00000342097']
A0A087WXL3,['9606.ENSP00000264233']
A0A087WXL5,['9606.ENSP00000481570']
A0A087WXL6,['9606.ENSP00000481126']
A0A087WXL9,['9606.ENSP00000478671']
A0A087WXM3,['9606.ENSP00000375063']
A0A087WXM4,['9606.ENSP00000481142']
A0A087WXM6,['9606.ENSP00000463842']
A0A087WXM7,['9606.ENSP00000402515']
A0A087WXM8,['9606.ENSP00000270233']
A0A087WXM9,['9606.ENSP00000488568']
A0A087WXN0,['9606.ENSP00000376213']
A0A087WXN3,['9606.ENSP00000255608']
A0A087WXN4,['9606.ENSP00000415433']
A0A087WXN5,['9606.ENSP00000383225']
A0A087WXN9,['9606.ENSP00000341171']
A0A087WXP0,['9606.ENSP00000233997']
A0A087WXP2,['9606.ENSP00000370340']
A0A087WXP3,['9606.ENSP00000283249']
A0A087WXP8,['9606.ENSP00000302625']
A0A087WXP9,['9606.ENSP00000302586']
A0A087WXQ2,['9606.ENSP00000283882']
A0A087WXQ3,['9606.ENSP00000343118']
A0A087WXQ5,['9606.ENSP00000240185']
A0A087WXQ6,['9606.ENSP00000363068']
A0A087WXQ7,['9606.ENSP00000351856']
A0A087WXQ8,['9606.ENSP00000483688']
A0A087WXQ9,['9606.ENSP00000381541']
A0A087WXR0,['9606.ENSP00000477695']
A0A087WXR1,['9606.ENSP00000378712']
A0A087WXR3,['9606.ENSP00000261658']
A0A087WXR4,['9606.ENSP00000325120']
A0A087WXR5,['9606.ENSP00000417142']
A0A087WXR6,['9606.ENSP00000477590']
A0A087WXR7,['9606.ENSP00000337623']
A0A087WXR8,['9606.ENSP00000328472']
A0A087WXR9,['9606.ENSP00000293549']
A0A087WXS0,['9606.ENSP00000371336']
A0A087WXS2,['9606.ENSP00000480291']
A0A087WXS3,['9606.ENSP00000483185']
A0A087WXS6,['9606.ENSP00000398725']
A0A087WXS8,['9606.ENSP00000306105']
A0A087WXS9,['9606.ENSP00000481258']
A0A087WXT0,['9606.ENSP00000239462']
A0A087WXT1,['9606.ENSP00000383911']
A0A087WXT3,['9606.ENSP00000352444']
A0A087WXT8,['9606.ENSP00000445001']
A0A087WXU0,['9606.ENSP00000412708']
A0A087WXU1,['9606.ENSP00000391803']
A0A087WXU2,['9606.ENSP00000481862']
A0A087WXU3,['9606.ENSP00000499020']
A0A087WXU5,['9606.ENSP00000480986']
A0A087WXU7,['9606.ENSP00000481316']
A0A087WXU8,['9606.ENSP00000481495']
A0A087WXU9,['9606.ENSP00000230053']
A0A087WXV2,['9606.ENSP00000367151']
A0A087WXV3,['9606.ENSP00000240185']
A0A087WXV4,['9606.ENSP00000312987']
A0A087WXV5,['9606.ENSP00000381499']
A0A087WXV6,['9606.ENSP00000156084']
A0A087WXV9,['9606.ENSP00000219689']
A0A087WXW3,['9606.ENSP00000259608']
A0A087WXW6,['9606.ENSP00000441823']
A0A087WXX1,['9606.ENSP00000398089']
A0A087WXX2,['9606.ENSP00000497767']
A0A087WXX3,['9606.ENSP00000316842']
A0A087WXX5,['9606.ENSP00000357389']
A0A087WXX7,['9606.ENSP00000483897']
A0A087WXX8,['9606.ENSP00000364649']
A0A087WXX9,['9606.ENSP00000360290']
A0A087WXY1,['9606.ENSP00000377954']
A0A087WXY2,['9606.ENSP00000070846']
A0A087WXY3,['9606.ENSP00000370653']
A0A087WXY4,['9606.ENSP00000496695']
A0A087WXY6,['9606.ENSP00000477627']
A0A087WXY7,['9606.ENSP00000354498']
A0A087WXZ1,['9606.ENSP00000269305']
A0A087WXZ2,['9606.ENSP00000275358']
A0A087WXZ5,['9606.ENSP00000480615']
A0A087WXZ6,['9606.ENSP00000358391']
A0A087WXZ7,['9606.ENSP00000184956']
A0A087WY00,['9606.ENSP00000382177']
A0A087WY01,['9606.ENSP00000474621']
A0A087WY02,['9606.ENSP00000419119']
A0A087WY03,['9606.ENSP00000334538']
A0A087WY05,['9606.ENSP00000338777']
A0A087WY08,['9606.ENSP00000406482']
A0A087WY09,['9606.ENSP00000333920']
A0A087WY10,['9606.ENSP00000483688']
A0A087WY11,['9606.ENSP00000361009']
A0A087WY14,['9606.ENSP00000252071']
A0A087WY21,['9606.ENSP00000410294']
A0A087WY22,['9606.ENSP00000362294']
A0A087WY24,['9606.ENSP00000478609']
A0A087WY27,['9606.ENSP00000478766']
A0A087WY28,['9606.ENSP00000368022']
A0A087WY29,['9606.ENSP00000359506']
A0A087WY31,['9606.ENSP00000478490']
A0A087WY32,['9606.ENSP00000317872']
A0A087WY34,['9606.ENSP00000444596']
A0A087WY35,['9606.ENSP00000365351']
A0A087WY36,['9606.ENSP00000354718']
A0A087WY37,['9606.ENSP00000335044']
A0A087WY38,['9606.ENSP00000359411']
A0A087WY39,['9606.ENSP00000353654']
A0A087WY40,['9606.ENSP00000477829']
A0A087WY42,['9606.ENSP00000484687']
A0A087WY45,['9606.ENSP00000340660']
A0A087WY48,['9606.ENSP00000446100']
A0A087WY49,['9606.ENSP00000479518']
A0A087WY50,['9606.ENSP00000170168']
A0A087WY54,['9606.ENSP00000484687']
A0A087WY55,['9606.ENSP00000356602']
A0A087WY56,['9606.ENSP00000451828']
A0A087WY57,['9606.ENSP00000255608']
A0A087WY58,['9606.ENSP00000484443']
A0A087WY59,['9606.ENSP00000227474']
A0A087WY60,['9606.ENSP00000478070']
A0A087WY61,['9606.ENSP00000377298']
A0A087WY62,['9606.ENSP00000481542']
A0A087WY63,['9606.ENSP00000485357']
A0A087WY64,['9606.ENSP00000355559']
A0A087WY65,['9606.ENSP00000312615']
A0A087WY66,['9606.ENSP00000482245']
A0A087WY68,['9606.ENSP00000482760']
A0A087WY70,['9606.ENSP00000366617']
A0A087WY71,['9606.ENSP00000403362']
A0A087WY72,['9606.ENSP00000482142']
A0A087WY73,['9606.ENSP00000481571']
A0A087WY74,['9606.ENSP00000217244']
A0A087WY76,['9606.ENSP00000337478']
A0A087WY77,['9606.ENSP00000456920']
A0A087WY80,['9606.ENSP00000392262']
A0A087WY81,['9606.ENSP00000463842']
A0A087WY82,['9606.ENSP00000357005']
A0A087WY83,['9606.ENSP00000482325']
A0A087WY84,['9606.ENSP00000261600']
A0A087WY85,['9606.ENSP00000349722']
A0A087WY87,['9606.ENSP00000414392']
A0A087WY89,['9606.ENSP00000381489']
A0A087WY90,['9606.ENSP00000280772']
A0A087WY93,['9606.ENSP00000450540']
A0A087WY94,['9606.ENSP00000370201']
A0A087WY96,['9606.ENSP00000481625']
A0A087WY98,['9606.ENSP00000402949']
A0A087WY99,['9606.ENSP00000480476']
A0A087WYA0,['9606.ENSP00000243167']
A0A087WYA1,['9606.ENSP00000495481']
A0A087WYA2,['9606.ENSP00000442786']
A0A087WYA8,['9606.ENSP00000202677']
A0A087WYA9,['9606.ENSP00000373304']
A0A087WYB0,['9606.ENSP00000354643']
A0A087WYB2,['9606.ENSP00000357336']
A0A087WYB3,['9606.ENSP00000478352']
A0A087WYB4,['9606.ENSP00000348886']
A0A087WYB5,['9606.ENSP00000312070']
A0A087WYB6,['9606.ENSP00000481593']
A0A087WYB9,['9606.ENSP00000481684']
A0A087WYC0,['9606.ENSP00000416097']
A0A087WYC1,['9606.ENSP00000302961']
A0A087WYC2,['9606.ENSP00000355961']
A0A087WYC6,['9606.ENSP00000475939']
A0A087WYC8,['9606.ENSP00000276201']
A0A087WYD0,['9606.ENSP00000259037']
A0A087WYD1,['9606.ENSP00000483185']
A0A087WYD2,['9606.ENSP00000353295']
A0A087WYD4,['9606.ENSP00000400471']
A0A087WYD5,['9606.ENSP00000445162']
A0A087WYD6,['9606.ENSP00000364032']
A0A087WYD7,['9606.ENSP00000479730']
A0A087WYD9,['9606.ENSP00000425582']
A0A087WYE0,['9606.ENSP00000219207']
A0A087WYE2,['9606.ENSP00000361929']
A0A087WYE4,['9606.ENSP00000358363']
A0A087WYE6,['9606.ENSP00000334474']
A0A087WYE7,['9606.ENSP00000478249']
A0A087WYF0,['9606.ENSP00000480986']
A0A087WYF1,['9606.ENSP00000400365']
A0A087WYF2,['9606.ENSP00000443459']
A0A087WYF3,['9606.ENSP00000257430']
A0A087WYF4,['9606.ENSP00000396379']
A0A087WYF5,['9606.ENSP00000479168']
A0A087WYF6,['9606.ENSP00000282633']
A0A087WYF7,['9606.ENSP00000362268']
A0A087WYF8,['9606.ENSP00000284767']
A0A087WYF9,['9606.ENSP00000481773']
A0A087WYG1,['9606.ENSP00000260408']
A0A087WYG2,['9606.ENSP00000481780']
A0A087WYG6,['9606.ENSP00000477648']
A0A087WYH0,['9606.ENSP00000462996']
A0A087WYH1,['9606.ENSP00000299687']
A0A087WYH2,['9606.ENSP00000253812']
A0A087WYH3,['9606.ENSP00000356064']
A0A087WYH5,['9606.ENSP00000483495']
A0A087WYH7,['9606.ENSP00000252999']
A0A087WYH9,['9606.ENSP00000477213']
A0A087WYI0,['9606.ENSP00000445001']
A0A087WYI2,['9606.ENSP00000376652']
A0A087WYI3,['9606.ENSP00000481114']
A0A087WYI5,['9606.ENSP00000479693']
A0A087WYI8,['9606.ENSP00000484687']
A0A087WYI9,['9606.ENSP00000464036']
A0A087WYJ0,['9606.ENSP00000481848']
A0A087WYJ3,['9606.ENSP00000439467']
A0A087WYJ5,['9606.ENSP00000356224']
A0A087WYJ6,['9606.ENSP00000481554']
A0A087WYJ7,['9606.ENSP00000498700']
A0A087WYK0,['9606.ENSP00000333956']
A0A087WYK1,['9606.ENSP00000270077']
A0A087WYK2,['9606.ENSP00000346667']
A0A087WYK3,['9606.ENSP00000481091']
A0A087WYK5,['9606.ENSP00000483720']
A0A087WYK6,['9606.ENSP00000483300']
A0A087WYK7,['9606.ENSP00000360660']
A0A087WYK9,['9606.ENSP00000356395']
A0A087WYL1,['9606.ENSP00000311825']
A0A087WYL2,['9606.ENSP00000442515']
A0A087WYL3,['9606.ENSP00000358966']
A0A087WYL5,['9606.ENSP00000481917']
A0A087WYL6,['9606.ENSP00000385848']
A0A087WYL7,['9606.ENSP00000481920']
A0A087WYL8,['9606.ENSP00000430236']
A0A087WYM1,['9606.ENSP00000312664']
A0A087WYM2,['9606.ENSP00000264170']
A0A087WYM3,['9606.ENSP00000249396']
A0A087WYM5,['9606.ENSP00000346359']
A0A087WYN0,['9606.ENSP00000481625']
A0A087WYN1,['9606.ENSP00000411506']
A0A087WYN2,['9606.ENSP00000438085']
A0A087WYN3,['9606.ENSP00000262710']
A0A087WYN6,['9606.ENSP00000495274']
A0A087WYN9,['9606.ENSP00000251636']
A0A087WYP0,['9606.ENSP00000438804']
A0A087WYP2,['9606.ENSP00000434511']
A0A087WYP4,['9606.ENSP00000316007']
A0A087WYP7,['9606.ENSP00000454836']
A0A087WYP8,['9606.ENSP00000481994']
A0A087WYP9,['9606.ENSP00000341680']
A0A087WYQ2,['9606.ENSP00000415517']
A0A087WYQ3,['9606.ENSP00000477590']
A0A087WYQ4,['9606.ENSP00000080059']
A0A087WYQ7,['9606.ENSP00000264170']
A0A087WYQ8,['9606.ENSP00000358265']
A0A087WYQ9,['9606.ENSP00000477979']
A0A087WYR0,['9606.ENSP00000424870']
A0A087WYR2,['9606.ENSP00000365938']
A0A087WYR3,['9606.ENSP00000217121']
A0A087WYR5,['9606.ENSP00000482030']
A0A087WYR8,['9606.ENSP00000224721']
A0A087WYS0,['9606.ENSP00000387262']
A0A087WYS1,['9606.ENSP00000338703']
A0A087WYS2,['9606.ENSP00000418944']
A0A087WYS3,['9606.ENSP00000439800']
A0A087WYS4,['9606.ENSP00000367608']
A0A087WYS5,['9606.ENSP00000480332']
A0A087WYS6,['9606.ENSP00000311121']
A0A087WYS7,['9606.ENSP00000354718']
A0A087WYS8,['9606.ENSP00000483300']
A0A087WYS9,['9606.ENSP00000361042']
A0A087WYT0,['9606.ENSP00000479168']
A0A087WYT1,['9606.ENSP00000469981']
A0A087WYT3,['9606.ENSP00000482075']
A0A087WYT4,['9606.ENSP00000361892']
A0A087WYT5,['9606.ENSP00000355651']
A0A087WYT6,['9606.ENSP00000234420']
A0A087WYT7,['9606.ENSP00000479518']
A0A087WYT8,['9606.ENSP00000256996']
A0A087WYU0,['9606.ENSP00000481021']
A0A087WYU2,['9606.ENSP00000440765']
A0A087WYU3,['9606.ENSP00000342313']
A0A087WYU4,['9606.ENSP00000299866']
A0A087WYU6,['9606.ENSP00000463574']
A0A087WYU8,['9606.ENSP00000357336']
A0A087WYV3,['9606.ENSP00000480986']
A0A087WYV4,['9606.ENSP00000482704']
A0A087WYV5,['9606.ENSP00000422591']
A0A087WYV6,['9606.ENSP00000362111']
A0A087WYV7,['9606.ENSP00000403302']
A0A087WYV9,['9606.ENSP00000482133']
A0A087WYW1,['9606.ENSP00000342313']
A0A087WYW2,['9606.ENSP00000446184']
A0A087WYW3,['9606.ENSP00000232978']
A0A087WYW5,['9606.ENSP00000312379']
A0A087WYW6,['9606.ENSP00000225726']
A0A087WYW7,['9606.ENSP00000278483']
A0A087WYW9,['9606.ENSP00000326767']
A0A087WYX0,['9606.ENSP00000221992']
A0A087WYX1,['9606.ENSP00000380759']
A0A087WYX3,['9606.ENSP00000357909']
A0A087WYX6,['9606.ENSP00000403888']
A0A087WYX7,['9606.ENSP00000311905']
A0A087WYX8,['9606.ENSP00000370057']
A0A087WYX9,['9606.ENSP00000364000']
A0A087WYY0,['9606.ENSP00000240185']
A0A087WYY3,['9606.ENSP00000416508']
A0A087WYY5,['9606.ENSP00000341779']
A0A087WYY7,['9606.ENSP00000481271']
A0A087WYY8,['9606.ENSP00000481625']
A0A087WYY9,['9606.ENSP00000258654']
A0A087WYZ1,['9606.ENSP00000325548']
A0A087WYZ4,['9606.ENSP00000482232']
A0A087WYZ5,['9606.ENSP00000444425']
A0A087WYZ7,['9606.ENSP00000350547']
A0A087WYZ8,['9606.ENSP00000356115']
A0A087WYZ9,['9606.ENSP00000346175']
A0A087WZ02,['9606.ENSP00000337572']
A0A087WZ03,['9606.ENSP00000478671']
A0A087WZ06,['9606.ENSP00000429744']
A0A087WZ07,['9606.ENSP00000464780']
A0A087WZ09,['9606.ENSP00000435712']
A0A087WZ11,['9606.ENSP00000405111']
A0A087WZ12,['9606.ENSP00000412302']
A0A087WZ13,['9606.ENSP00000482486']
A0A087WZ14,['9606.ENSP00000499750']
A0A087WZ15,['9606.ENSP00000229922']
A0A087WZ16,['9606.ENSP00000482285']
A0A087WZ19,['9606.ENSP00000260947']
A0A087WZ21,['9606.ENSP00000277526']
A0A087WZ24,['9606.ENSP00000352039']
A0A087WZ26,['9606.ENSP00000280772']
A0A087WZ28,['9606.ENSP00000389399']
A0A087WZ31,['9606.ENSP00000363452']
A0A087WZ32,['9606.ENSP00000482228']
A0A087WZ33,['9606.ENSP00000364448']
A0A087WZ34,['9606.ENSP00000380661']
A0A087WZ35,['9606.ENSP00000336701']
A0A087WZ36,['9606.ENSP00000482540']
A0A087WZ37,['9606.ENSP00000363068']
A0A087WZ38,['9606.ENSP00000264933']
A0A087WZ40,['9606.ENSP00000482335']
A0A087WZ41,['9606.ENSP00000368793']
A0A087WZ43,['9606.ENSP00000289989']
A0A087WZ46,['9606.ENSP00000381636']
A0A087WZ47,['9606.ENSP00000292586']
A0A087WZ50,['9606.ENSP00000478298']
A0A087WZ51,['9606.ENSP00000217121']
A0A087WZ54,['9606.ENSP00000302144']
A0A087WZ56,['9606.ENSP00000473853']
A0A087WZ58,['9606.ENSP00000356150']
A0A087WZ59,['9606.ENSP00000481625']
A0A087WZ61,['9606.ENSP00000477706']
A0A087WZ62,['9606.ENSP00000482396']
A0A087WZ63,['9606.ENSP00000314029']
A0A087WZ65,['9606.ENSP00000280772']
A0A087WZ66,['9606.ENSP00000363822']
A0A087WZ68,['9606.ENSP00000357336']
A0A087WZ70,['9606.ENSP00000258317']
A0A087WZ73,['9606.ENSP00000481862']
A0A087WZ78,['9606.ENSP00000369857']
A0A087WZ80,['9606.ENSP00000362403']
A0A087WZ82,['9606.ENSP00000482442']
A0A087WZ84,['9606.ENSP00000334685']
A0A087WZ85,['9606.ENSP00000420321']
A0A087WZ88,['9606.ENSP00000352900']
A0A087WZ89,['9606.ENSP00000481038']
A0A087WZ93,['9606.ENSP00000478298']
A0A087WZ94,['9606.ENSP00000479730']
A0A087WZ97,['9606.ENSP00000359333']
A0A087WZ99,['9606.ENSP00000483345']
A0A087WZA0,['9606.ENSP00000342981']
A0A087WZA4,['9606.ENSP00000264819']
A0A087WZA6,['9606.ENSP00000481022']
A0A087WZA7,['9606.ENSP00000482245']
A0A087WZA9,['9606.ENSP00000484736']
A0A087WZB4,['9606.ENSP00000373648']
A0A087WZB5,['9606.ENSP00000384515']
A0A087WZB6,['9606.ENSP00000481542']
A0A087WZB7,['9606.ENSP00000357787']
A0A087WZC1,['9606.ENSP00000481559']
A0A087WZC2,['9606.ENSP00000480291']
A0A087WZC3,['9606.ENSP00000358535']
A0A087WZC4,['9606.ENSP00000220420']
A0A087WZC9,['9606.ENSP00000240185']
A0A087WZD0,['9606.ENSP00000482142']
A0A087WZD3,['9606.ENSP00000342560']
A0A087WZD4,['9606.ENSP00000269221']
A0A087WZD6,['9606.ENSP00000383216']
A0A087WZD8,['9606.ENSP00000352536']
A0A087WZD9,['9606.ENSP00000482410']
A0A087WZE0,['9606.ENSP00000480680']
A0A087WZE1,['9606.ENSP00000477979']
A0A087WZE5,['9606.ENSP00000251337']
A0A087WZE6,['9606.ENSP00000482600']
A0A087WZE7,['9606.ENSP00000361646']
A0A087WZE8,['9606.ENSP00000469248']
A0A087WZE9,['9606.ENSP00000482613']
A0A087WZF0,['9606.ENSP00000342502']
A0A087WZF1,['9606.ENSP00000491657']
A0A087WZF2,['9606.ENSP00000258106']
A0A087WZF3,['9606.ENSP00000491215']
A0A087WZF4,['9606.ENSP00000484736']
A0A087WZF5,['9606.ENSP00000365606']
A0A087WZF6,['9606.ENSP00000483453']
A0A087WZF9,['9606.ENSP00000471683']
A0A087WZG0,['9606.ENSP00000484252']
A0A087WZG4,['9606.ENSP00000482647']
A0A087WZG5,['9606.ENSP00000457230']
A0A087WZG6,['9606.ENSP00000385848']
A0A087WZG8,['9606.ENSP00000343331']
